id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15898292,Near the Heart of the Market!,4962900,Stay Alfred,Downtown,Central Business District,47.60571534,-122.3375789,Entire home/apt,349,2,2,4/24/2017,0.09,64,237
15898330,2-Bed 2-Bath Sleep 6 Downtown Seattle Vacation!,4962900,Stay Alfred,Downtown,Central Business District,47.60701023,-122.3376704,Entire home/apt,349,2,27,10/19/2018,1.14,64,347
15900957,Westlake Condos 1 BD 6,8534462,Nadia,Cascade,South Lake Union,47.62003701,-122.3376154,Entire home/apt,229,2,6,9/14/2018,0.25,311,104
15901231,Stylish New Queen Anne Lux Home with Wet Bar on West Slope,103063006,Katrina,Queen Anne,North Queen Anne,47.65008959,-122.3735792,Entire home/apt,298,1,159,11/12/2018,6.64,2,139
15901973,Quiet Large Room U Village/UW 5,2911360,Ren,Other neighborhoods,Ravenna,47.66531436,-122.2971015,Private room,50,2,7,9/15/2018,0.34,3,88
15902063,3BR w/ Balcony & Rooftop Deck w/ Seattle View,103151352,TurnKey Vacation Rentals,Central Area,Leschi,47.59369038,-122.2958809,Entire home/apt,132,2,53,10/10/2018,2.35,1,330
15912752,"Spacious, Family-Friendly 2BR Private in Greenwood",103235573,Tatyana,Other neighborhoods,Greenwood,47.69936481,-122.3503521,Entire home/apt,69,1,129,10/27/2018,5.38,1,138
15915426,Beautiful 3 bdrm Beacon Hill house,491510,Jenn,Beacon Hill,Mid-Beacon Hill,47.55930738,-122.3083821,Entire home/apt,125,2,35,10/14/2018,1.49,2,0
15917303,The Makers' Guesthouse - Cultivate local making!,14299559,Helen,Rainier Valley,Columbia City,47.55788279,-122.2906173,Entire home/apt,100,2,91,11/9/2018,4.21,1,72
15917796,Charming Carriage House in the heart of the city,38021932,Rocky,Cascade,Eastlake,47.64086751,-122.3242389,Entire home/apt,125,2,13,9/24/2018,0.53,1,260
15927940,"SUPER COMFORTABLE, SUPER HOST, walk to downtown.",9840816,Matthew,Downtown,First Hill,47.61309926,-122.3237425,Entire home/apt,119,1,164,11/12/2018,6.8,3,250
15928142,Cozy Ballard Home with Private Entrance!,40760059,Becca,Other neighborhoods,Crown Hill,47.69153773,-122.3803079,Entire home/apt,69,2,39,9/25/2018,1.62,1,158
15929975,"West Seattle-Private, Beach View Suite",9740329,Marcia And Corey,West Seattle,Seaview,47.54163844,-122.3962018,Entire home/apt,180,2,25,10/2/2018,1.55,1,36
15937344,Cool Condo (Heart of Fremont With Free Parking),92904426,Greg,Other neighborhoods,Fremont,47.6545874,-122.3527941,Entire home/apt,85,3,35,6/30/2017,1.46,1,0
15951475,Family-style modern townhouse,35225058,Candice,Queen Anne,Lower Queen Anne,47.62722316,-122.3503396,Entire home/apt,200,2,47,11/12/2018,1.96,1,65
15967039,Newly Renovated Private Suite in Ballard,57785965,Paola,Ballard,West Woodland,47.66583797,-122.3637138,Private room,62,1,29,10/20/2018,1.31,1,164
15970930,"Large Renovated House - West Seattle, Admiral area",103737017,Nicole,West Seattle,North Admiral,47.57709689,-122.3952779,Entire home/apt,425,3,13,8/12/2018,0.57,1,33
15973665,Craftsman Cottage near Green Lake,3126655,Jessica,Other neighborhoods,Wallingford,47.66945903,-122.3317242,Entire home/apt,149,2,13,9/3/2018,0.69,1,6
15975033,Peaceful West Seattle Retreat,3805377,Beth,West Seattle,Genesee,47.5666963,-122.3786712,Entire home/apt,55,1,67,11/11/2018,8.07,1,171
15984482,Laze on the Porch at a Laid-back Magnolia Hideaway,103858623,Susan,Magnolia,Southeast Magnolia,47.64475008,-122.3952149,Entire home/apt,139,2,33,10/13/2018,1.42,1,325
15989269,Modern 2-bed house w/ hot tub in heart of Fremont,336851,Tom,Other neighborhoods,Fremont,47.65361455,-122.3568406,Entire home/apt,99,5,24,9/15/2018,1.04,1,0
15989625,Close to the best spots in Seattle,29824474,Rachael,Cascade,Westlake,47.63164652,-122.3427638,Entire home/apt,109,5,5,9/24/2018,0.35,2,11
16000042,2 BR Seattle home near Downtown and Capitol Hill,3176282,Peter,Central Area,Leschi,47.59392264,-122.2947164,Entire home/apt,80,1,161,10/30/2018,7.17,1,3
16000099,CAPITOL HILL-WITH PARKING!,1548003,Michael,Capitol Hill,Stevens,47.62101618,-122.3031584,Entire home/apt,85,2,108,11/1/2018,4.79,5,336
16000287,CAPITOL HILL 2 BEDROOM REMODEL,1548003,Michael,Capitol Hill,Stevens,47.61787322,-122.3089425,Entire home/apt,199,2,97,11/11/2018,4.31,5,350
16000373,CAPITOL HILL LARGE 1 BED SUITE - REMODEL,1548003,Michael,Capitol Hill,Stevens,47.61780899,-122.3064174,Entire home/apt,150,2,66,11/12/2018,3.14,5,354
16000566,CAPITOL HILL EXPERIENCE 3,1548003,Michael,Capitol Hill,Stevens,47.61788082,-122.306211,Entire home/apt,99,2,80,11/11/2018,3.79,5,342
16000623,CAPITOL HILL EXPERIENCE 4,1548003,Michael,Capitol Hill,Stevens,47.61975708,-122.3063427,Entire home/apt,99,2,98,11/12/2018,4.38,5,356
16002848,"Stunning 1920s Mansion with Theater, Gym, & Views!",50915624,Ashley,Capitol Hill,Stevens,47.63730778,-122.3135811,Entire home/apt,800,2,0,,,1,0
16003297,Craftsman midway between QA/Fremont,10003344,Heather,Queen Anne,North Queen Anne,47.64654511,-122.3513951,Entire home/apt,225,2,6,11/26/2017,0.33,1,116
16006174,Relaxing Room in Modern Ballard Townhouse with Ensuite Bath,17976114,Chez,Ballard,Adams,47.67503664,-122.3769729,Private room,210,10,14,8/11/2018,0.61,4,365
16012256,Chic 1bdrm in North Capitol Hill,35552720,Jasmine,Capitol Hill,Broadway,47.62214764,-122.3139911,Entire home/apt,125,2,15,9/4/2017,0.63,1,90
16013331,Cozy Cofy Room for Single traveller,44686360,Julia,Northgate,Haller Lake,47.72871018,-122.3367265,Private room,35,2,35,10/21/2018,1.63,3,87
16016455,Penthouse Loft with water and Space Needle views,26086405,Aaron,Downtown,Belltown,47.61507959,-122.3504209,Entire home/apt,300,3,21,10/28/2018,1.08,1,0
